payment_id,invoice_id,payment_date,payment_amount,payment_method
PAY-207775,INV-786913,2023-10-07,3354624.0,Cheque
PAY-942474,INV-697615,2021-11-23,1387911.0,Credit Card
PAY-657121,INV-747829,2024-12-26,1475.0,Bank Transfer
PAY-684019,INV-154762,2022-04-07,1050598.0,Cash
PAY-166155,INV-159498,2019-10-29,3989208.8,Cash
PAY-352053,INV-324708,2024-06-08,3373440.0,Cash
PAY-374156,INV-705737,2021-02-01,1771642.8,UPI
PAY-842283,INV-801362,2023-12-19,1638595.0,Credit Card
PAY-977944,INV-662057,2024-10-29,1249000.4,Credit Card
PAY-963118,INV-775723,2021-02-18,108732.0,Cheque
PAY-388144,INV-756381,2020-04-03,263567.6,UPI
PAY-882745,INV-475370,2019-08-07,3045428.0,Cheque
PAY-300123,INV-963160,2024-09-06,650462.84,Bank Transfer
PAY-372535,INV-576405,2021-11-15,451238.85,Bank Transfer
PAY-884158,INV-114587,2019-10-03,2440874.4,Cash
PAY-253168,INV-803272,2023-01-02,1467562.0,UPI
PAY-366251,INV-620681,2021-11-28,9408.0,UPI
PAY-901031,INV-247904,2022-06-13,39514.55,Cash
PAY-653118,INV-759813,2020-11-03,587459.0,Bank Transfer
PAY-244024,INV-397977,2019-02-23,194303.4,Cheque
PAY-669990,INV-164998,2019-12-15,481440.0,Bank Transfer
PAY-582904,INV-165894,2020-01-07,819004.6,Cheque
PAY-632735,INV-438268,2019-05-22,385434.14,Credit Card
PAY-108845,INV-438268,2019-04-30,1059672.52,Cash
PAY-424177,INV-438268,2019-04-22,168220.94,Credit Card
PAY-761263,INV-153034,2021-05-30,1309567.38,UPI
PAY-333649,INV-327432,2021-07-13,771570.4,Bank Transfer
PAY-761769,INV-131738,2020-05-13,2424197.2,Credit Card
PAY-826151,INV-378290,2020-04-30,1575678.4,Credit Card
PAY-478426,INV-853902,2024-11-15,3618774.4,Bank Transfer
PAY-515325,INV-814835,2022-04-16,1005598.3,UPI
PAY-874707,INV-661209,2024-09-02,1797950.84,Credit Card
PAY-299782,INV-972475,2021-12-10,3046635.0,UPI
PAY-632461,INV-263467,2021-05-03,1052710.5,UPI
PAY-505362,INV-263467,2021-05-13,1308551.93,UPI
PAY-762803,INV-263467,2021-05-31,69347.57,Cheque
PAY-565053,INV-572541,2022-09-02,1375679.0,Cash
PAY-737722,INV-441708,2023-11-13,1664928.8,Cash
PAY-510112,INV-635373,2019-05-20,1244288.0,Cash
PAY-899796,INV-324741,2021-09-09,2107337.0,Bank Transfer
PAY-629364,INV-800566,2019-05-17,618463.4,Cheque
PAY-763283,INV-854510,2019-04-15,2276792.0,UPI
PAY-123284,INV-959225,2019-09-18,325327.61,Bank Transfer
PAY-382386,INV-562671,2022-05-17,1572446.21,Credit Card
PAY-258755,INV-562671,2022-05-29,444858.79,Credit Card
PAY-938738,INV-979945,2024-09-24,2966082.57,Credit Card
PAY-572591,INV-979945,2024-09-19,1492601.34,Cash
PAY-695190,INV-979945,2024-10-12,334887.89,Credit Card
PAY-794752,INV-183234,2022-10-02,566979.0,Cash
PAY-692208,INV-696783,2024-10-29,38144.0,Bank Transfer
PAY-438162,INV-774464,2020-04-15,2724781.4,Credit Card
PAY-791965,INV-940141,2019-08-13,373881.0,UPI
PAY-437393,INV-906426,2021-08-25,2694043.33,Bank Transfer
PAY-558925,INV-906426,2021-09-07,926439.87,Bank Transfer
PAY-542937,INV-155585,2022-05-29,1040023.91,Cash
PAY-983283,INV-155585,2022-05-19,1120936.46,Cheque
PAY-984135,INV-155585,2022-06-08,289559.84,Cheque
PAY-286250,INV-436081,2019-05-02,650195.4,Cheque
PAY-446165,INV-886834,2019-09-14,141956.63,Bank Transfer
PAY-635048,INV-886834,2019-09-26,266847.37,Bank Transfer
PAY-555124,INV-194338,2021-11-14,1683260.2,UPI
PAY-719746,INV-895736,2023-08-27,197679.19,Bank Transfer
PAY-886734,INV-895736,2023-08-08,79966.41,UPI
PAY-695247,INV-932358,2024-11-20,168851.4,Cheque
PAY-157653,INV-469444,2024-04-17,2808179.4,UPI
PAY-119777,INV-964240,2022-12-02,490021.0,Cash
PAY-475369,INV-370392,2019-10-16,663024.66,Cash
PAY-988156,INV-177268,2019-08-26,2479735.0,Cash
PAY-366890,INV-954567,2022-11-15,2430575.45,Bank Transfer
PAY-993538,INV-312855,2023-11-05,1135201.4,Bank Transfer
