Dataset,Column,Rows,Unique Values,Missing,Unique
branches,branch_id,6,6,0,True
branches,manager_id,6,6,0,True
customers,customer_id,500,500,0,True
customers,branch_id,500,6,0,False
inventory,product_id,180,30,0,False
inventory,branch_id,180,6,0,False
invoices,invoice_id,18033,17836,0,False
invoices,so_id,18033,18033,0,True
invoices,customer_id,18033,500,0,False
invoices,branch_id,18033,6,0,False
payments,payment_id,19257,19055,0,False
payments,invoice_id,19257,16036,0,False
products,product_id,30,30,0,True
purchase_headers,po_id,24000,24000,0,True
purchase_headers,supplier_id,24000,8,0,False
purchase_headers,branch_id,24000,6,0,False
purchase_lines,po_id,155495,24000,0,False
purchase_lines,product_id,155495,30,0,False
sales_headers,so_id,20000,20000,0,True
sales_headers,customer_id,20000,500,0,False
sales_headers,branch_id,20000,6,0,False
sales_lines,so_id,130402,20000,0,False
sales_lines,product_id,130402,30,0,False
stock_ledger,movement_id,237230,237230,0,True
stock_ledger,product_id,237230,30,0,False
stock_ledger,branch_id,237230,6,0,False
stock_ledger,reference_id,237230,43709,0,False
suppliers,supplier_id,8,8,0,True
suppliers,china_tax_id,8,8,0,True
