customer_id,customer_total_sales,customer_total_orders,customer_total_quantity,customer_unique_products
C0001,67052288.0,40,2656,30
C0002,77917319.2,56,3636,30
C0003,50921823.2,40,2365,30
C0004,62484367.6,47,2995,30
C0005,85668379.8,51,3747,30
C0006,77685503.4,46,3221,30
C0007,48267553.2,36,2263,30
C0008,49133801.0,36,2319,30
C0009,68836324.8,34,2677,30
C0010,69405822.8,50,3255,30
C0011,57187490.8,41,2717,30
C0012,54659532.0,38,2001,30
C0013,81970974.6,49,3585,30
C0014,55301444.6,31,2054,30
C0015,64944750.0,38,2619,30
C0016,77633128.0,41,3051,30
C0017,59455266.0,40,2469,30
C0018,59030468.4,36,2257,30
C0019,54871093.4,43,2359,30
C0020,48976856.0,41,2338,30
C0021,65405456.4,47,2628,30
C0022,56771100.0,39,2583,30
C0023,68015185.6,37,2461,30
C0024,62453301.2,48,2666,30
C0025,74907916.8,44,3107,30
C0026,76679411.4,41,3118,30
C0027,60238104.6,44,2664,30
C0028,42570807.4,34,2094,30
C0029,58176890.6,38,2565,30
C0030,64370910.6,38,2832,30
C0031,66478869.4,40,2659,30
C0032,74116167.4,45,3056,30
C0033,57806787.2,34,2412,30
C0034,42944978.2,33,1992,30
C0035,69432703.6,46,3072,30
C0036,60321548.8,39,2544,30
C0037,49170554.6,38,2071,30
C0038,66333798.6,41,2784,30
C0039,68445013.6,40,3061,30
C0040,55264046.6,45,2696,30
C0041,77732741.0,42,3138,30
C0042,78392790.0,44,3165,30
C0043,50240542.8,37,2535,30
C0044,55873422.6,38,2372,30
C0045,77675754.6,43,2991,30
C0046,97081196.6,51,3471,30
C0047,64303432.2,36,2568,30
C0048,51356098.4,34,2181,30
C0049,84164002.6,42,3157,30
C0050,63912172.0,30,2194,30
C0051,59958994.4,37,2634,30
C0052,57455055.6,37,2379,30
C0053,48380645.8,31,2062,29
C0054,71503829.4,42,2612,30
C0055,68815879.6,37,2941,30
C0056,65974292.4,38,2686,30
C0057,52687167.2,35,2363,30
C0058,56841153.8,41,2554,30
C0059,61020302.6,39,2659,30
C0060,82033521.6,50,3565,30
C0061,39850503.8,32,1620,30
C0062,81412848.2,38,3113,30
C0063,77222513.2,43,2940,30
C0064,66364513.6,39,2521,30
C0065,75287487.6,41,2912,30
C0066,60235825.4,38,2739,30
C0067,56503395.6,33,2337,30
C0068,59659250.6,42,2597,30
C0069,82661260.2,52,3746,30
C0070,87747724.2,48,3393,30
C0071,76936168.8,47,3399,30
C0072,59941485.6,30,2183,30
C0073,62403573.6,36,2361,30
C0074,59288601.6,45,2880,30
C0075,55423341.4,35,2375,30
C0076,87221895.8,49,3370,30
C0077,63409372.8,38,2610,30
C0078,44016970.2,33,2156,30
C0079,47715030.2,33,1990,30
C0080,64442221.6,46,2978,30
C0081,62552790.6,40,2922,30
C0082,81249145.6,50,3363,30
C0083,94364155.4,50,3739,30
C0084,90726465.4,47,3136,30
C0085,71008889.0,44,2714,30
C0086,61140968.2,30,2141,30
C0087,52685252.8,41,2659,30
C0088,63615211.0,39,2536,30
C0089,51004563.0,40,2383,30
C0090,56056558.6,45,2830,30
C0091,42545525.4,32,2175,30
C0092,49508865.6,41,2301,30
C0093,63276812.2,41,2768,30
C0094,50263933.0,33,2188,30
C0095,58809103.8,31,2419,30
C0096,60656339.0,40,2626,30
C0097,54923549.4,30,2152,30
C0098,57357413.2,37,2478,30
C0099,66209370.0,52,3268,30
C0100,50958417.2,42,2513,30
C0101,67105356.8,43,3023,30
C0102,80030261.4,38,2984,30
C0103,79536298.4,42,3102,30
C0104,44705340.8,36,2259,30
C0105,66903370.4,46,2885,30
C0106,60639108.8,42,2876,30
C0107,90133837.8,52,4068,30
C0108,42738496.6,26,1870,30
C0109,73760844.8,48,3451,30
C0110,94461957.2,44,3776,30
C0111,59356912.0,39,2663,30
C0112,59897509.0,40,2724,30
C0113,83281862.4,42,2941,30
C0114,55114526.0,36,2643,30
C0115,48843581.0,33,2177,30
C0116,76668904.6,40,3001,30
C0117,45754267.0,35,2207,30
C0118,54581290.4,39,2549,30
C0119,83814433.4,58,3605,30
C0120,52335040.0,36,2534,30
C0121,49865297.8,36,1978,30
C0122,53915180.0,33,2233,29
C0123,70243447.0,37,2661,30
C0124,65379588.0,47,3341,30
C0125,49053869.4,36,2036,30
C0126,70535310.0,39,2621,30
C0127,55495542.0,31,2386,30
C0128,73171694.8,39,2697,30
C0129,82458307.6,40,3191,30
C0130,60851805.0,41,2666,30
C0131,73559256.8,39,2892,30
C0132,50864051.6,39,2419,30
C0133,54603955.0,31,2030,30
C0134,91565309.0,50,3863,30
C0135,78383415.4,45,3145,30
C0136,52373189.0,42,2411,30
C0137,57221883.8,28,2094,30
C0138,69371199.4,41,2943,30
C0139,48432694.2,36,2222,30
C0140,74126515.8,44,3053,30
C0141,76394196.6,40,2727,30
C0142,87849122.2,48,3418,30
C0143,49888789.6,29,2049,30
C0144,54049087.6,31,2282,30
C0145,37852475.0,37,1984,30
C0146,62762832.8,33,2579,30
C0147,57961759.4,36,2494,30
C0148,59828023.0,40,2357,30
C0149,73287579.6,42,2828,30
C0150,45150214.2,34,2121,29
C0151,45382271.4,31,2127,30
C0152,63322590.0,41,3018,30
C0153,109360638.6,59,4256,30
C0154,77981883.6,46,3157,30
C0155,45589948.4,36,2002,30
C0156,67944702.4,36,2505,30
C0157,66039594.4,38,2754,30
C0158,62074622.2,37,2445,30
C0159,57251892.6,36,2691,30
C0160,76401059.6,49,3197,30
C0161,69069391.0,43,3152,30
C0162,68830756.4,30,2375,30
C0163,51460399.4,40,2598,30
C0164,59364706.6,39,2466,30
C0165,80463427.2,51,3586,30
C0166,74137215.4,34,2812,30
C0167,52892007.0,35,2402,30
C0168,77926391.0,38,3157,30
C0169,80772054.4,44,3130,30
C0170,48302583.4,32,2167,30
C0171,68022564.0,36,2524,30
C0172,72288356.4,42,2786,30
C0173,63791487.8,36,2876,30
C0174,37034465.8,34,1916,30
C0175,67902256.2,41,2665,30
C0176,68872893.2,44,2963,30
C0177,40099837.2,30,2178,30
C0178,97309961.6,58,3957,30
C0179,44818951.8,35,2354,30
C0180,33556847.4,31,2147,29
C0181,60094083.2,40,2681,30
C0182,45656632.6,32,2103,30
C0183,41359486.8,32,2115,30
C0184,72655964.8,35,2846,30
C0185,58416829.8,39,2520,30
C0186,77458487.0,42,2994,30
C0187,49675352.0,31,2049,30
C0188,61533771.8,45,2764,30
C0189,69544094.2,41,3262,30
C0190,63609819.4,38,2539,30
C0191,71483715.2,31,2309,30
C0192,75785020.6,43,2799,30
C0193,73624933.0,44,3001,30
C0194,50090927.4,36,1845,30
C0195,59145431.2,33,2247,30
C0196,78120269.6,54,3483,30
C0197,85162557.6,50,3431,30
C0198,65200086.6,38,2497,30
C0199,53138757.0,38,2572,30
C0200,93452113.6,52,3792,30
C0201,84633831.6,49,3466,30
C0202,58935549.4,35,2704,30
C0203,55254922.2,37,2453,30
C0204,43385471.0,33,2029,30
C0205,68750922.6,39,2580,30
C0206,96630874.4,46,3567,30
C0207,101737768.4,51,3583,30
C0208,51714962.2,34,2464,30
C0209,72304789.4,46,3052,30
C0210,54645456.0,32,2125,30
C0211,63897083.2,45,3416,30
C0212,48934838.0,35,2096,30
C0213,68039047.6,32,2288,30
C0214,54155736.6,35,2449,30
C0215,79956715.4,53,3911,30
C0216,76597799.4,46,3001,30
C0217,63312018.8,38,2466,30
C0218,55544090.8,45,2735,30
C0219,79417300.6,48,3279,30
C0220,54813895.4,47,2805,30
C0221,82001959.0,44,2968,30
C0222,61184396.6,44,2779,30
C0223,54993118.6,34,2430,30
C0224,58349595.8,40,2639,30
C0225,72456292.4,51,2972,30
