so_id,order_quantity,order_line_count,order_sales_value,unique_products,order_value_category
SO-100070,17,2,292352.0,2,Very High
SO-100088,132,10,2770123.8,9,Very High
SO-100155,108,9,1564183.0,7,Very High
SO-100192,36,2,264196.0,2,Very High
SO-100220,21,3,168070.8,3,Very High
SO-100241,62,9,2563943.0,8,Very High
SO-100259,116,10,2013088.6,9,Very High
SO-100281,11,2,26915.8,2,High
SO-100340,31,3,2670336.0,3,Very High
SO-100355,113,9,5854806.0,8,Very High
SO-100359,68,4,2603264.0,4,Very High
SO-100405,113,7,4069774.8,7,Very High
SO-100420,105,11,3878309.6,9,Very High
SO-100521,37,4,610303.0,4,Very High
SO-100571,139,11,1341471.4,11,Very High
SO-100601,115,12,1291072.4,9,Very High
SO-100609,66,5,1507343.6,5,Very High
SO-100635,106,10,2453042.0,7,Very High
SO-100662,63,6,1434904.8,5,Very High
SO-100786,78,7,1283189.4,7,Very High
SO-100871,63,7,540696.8,7,Very High
SO-100978,44,6,2224184.4,5,Very High
SO-100980,119,9,1296600.2,9,Very High
SO-101005,55,5,2857452.0,5,Very High
SO-101006,62,6,795389.0,6,Very High
SO-101024,26,2,573128.0,2,Very High
SO-101088,103,10,1312986.5999999999,8,Very High
SO-101158,83,7,4292528.0,7,Very High
SO-101202,62,5,1089905.2,5,Very High
SO-101223,115,11,1982777.0,11,Very High
SO-101333,92,10,4566126.0,9,Very High
SO-101360,67,5,890534.0,5,Very High
SO-101371,40,4,397527.0,4,Very High
SO-101378,6,1,8850.0,1,Medium
SO-101405,57,4,594940.0,4,Very High
SO-101408,45,4,687577.6,4,Very High
SO-101430,25,2,376384.0,2,Very High
SO-101487,11,1,344960.0,1,Very High
SO-101606,61,7,755732.6,6,Very High
SO-101627,142,11,1672227.0,10,Very High
SO-101634,114,11,3020610.0,8,Very High
SO-101698,1,1,19072.0,1,High
SO-101727,32,4,1135036.0,3,Very High
SO-101774,15,1,25665.0,1,High
SO-101846,44,4,155236.4,3,Very High
SO-101862,66,8,1620332.8,7,Very High
SO-101875,147,11,2207824.0,9,Very High
SO-101895,111,8,1251814.8,6,Very High
SO-102042,95,10,1514278.0,7,Very High
SO-102047,16,3,100111.6,3,Very High
SO-102070,45,6,522499.0,6,Very High
SO-102089,83,8,3062929.2,8,Very High
SO-102151,37,2,308815.0,2,Very High
SO-102196,73,7,545609.8,6,Very High
SO-102225,76,8,2276281.6,7,Very High
SO-102299,99,11,3440309.6,10,Very High
SO-102341,16,1,13593.6,1,High
SO-102367,132,9,1605142.2,9,Very High
SO-102429,77,6,2631303.6,6,Very High
SO-102436,96,8,2574010.4,8,Very High
SO-102464,94,12,1224995.6,9,Very High
SO-102589,95,9,1249586.6,8,Very High
SO-102622,128,12,4170176.0,11,Very High
SO-102648,79,6,2311208.0,5,Very High
SO-102680,39,4,1734281.8,4,Very High
SO-102750,50,4,316472.0,4,Very High
SO-102755,126,12,7055107.4,8,Very High
SO-102866,86,9,1106498.8,9,Very High
SO-102899,74,6,788077.0,6,Very High
SO-102988,94,9,4453998.4,6,Very High
SO-102997,134,12,3595058.0,10,Very High
SO-103003,86,7,4573880.0,7,Very High
SO-103051,73,6,1950134.2,6,Very High
SO-103196,74,9,996396.8,8,Very High
SO-103200,60,7,273193.2,6,Very High
SO-103375,72,9,1154491.8,7,Very High
SO-103444,18,2,45819.4,2,High
SO-103466,5,1,140160.0,1,Very High
SO-103504,69,6,2143810.4,6,Very High
SO-103663,106,9,2729275.0,7,Very High
SO-103669,69,7,631811.6,7,Very High
SO-103725,22,2,312772.0,2,Very High
SO-103819,36,4,723265.0,4,Very High
SO-103835,113,10,1957122.6,7,Very High
SO-103898,52,6,1252161.0,6,Very High
SO-103924,27,2,52215.0,2,Very High
SO-103937,23,3,570483.0,3,Very High
SO-103986,47,5,325086.0,5,Very High
SO-104082,54,6,650167.0,6,Very High
SO-104122,101,6,3367475.2,5,Very High
SO-104232,44,3,189017.0,3,Very High
SO-104263,36,5,917010.0,5,Very High
SO-104320,12,2,29972.0,2,High
SO-104353,69,8,1547708.0,6,Very High
SO-104358,60,6,1956492.0,5,Very High
SO-104368,84,8,2133932.4,6,Very High
SO-104398,104,11,2376103.0,8,Very High
SO-104445,35,3,502980.0,2,Very High
SO-104475,98,10,1673719.8,10,Very High
SO-104482,92,7,1871506.2,6,Very High
SO-104566,35,4,272622.6,4,Very High
SO-104684,90,10,2639009.2,10,Very High
SO-104780,109,11,1873807.8,9,Very High
SO-104807,9,1,317952.0,1,Very High
SO-104814,59,4,905088.0,4,Very High
SO-104820,66,5,152117.8,5,Very High
SO-104832,58,9,722035.0,8,Very High
SO-104904,94,10,1381863.0,8,Very High
SO-104997,73,9,2641360.6,9,Very High
SO-105053,101,10,3094909.0,6,Very High
SO-105126,16,3,610808.0,3,Very High
SO-105127,105,10,1647908.0,10,Very High
SO-105149,165,12,3308855.0,9,Very High
SO-105214,36,4,275044.4,4,Very High
SO-105299,99,10,3694665.0,10,Very High
SO-105527,111,12,2147947.8,12,Very High
SO-105584,38,3,1071047.2,3,Very High
SO-105665,136,10,1295140.6,10,Very High
SO-105805,121,10,1915100.0,9,Very High
SO-105812,44,4,1883495.0,4,Very High
SO-106008,135,11,3643716.2,10,Very High
SO-106251,71,8,1924314.6,8,Very High
SO-106268,82,6,2695361.0,6,Very High
SO-106300,53,4,916591.0,4,Very High
SO-106305,64,5,853820.0,5,Very High
SO-106420,90,8,2314560.6,8,Very High
SO-106483,68,7,255162.0,7,Very High
SO-106546,50,4,794297.2,4,Very High
SO-106602,9,1,194688.0,1,Very High
SO-106616,123,12,2729446.8,8,Very High
SO-106641,18,1,635904.0,1,Very High
SO-106679,117,12,4050249.8,10,Very High
SO-106729,111,10,1612097.8,9,Very High
SO-106782,97,9,1893892.7999999998,9,Very High
SO-106787,19,3,202398.0,2,Very High
SO-106794,85,8,2323838.0,5,Very High
SO-106795,45,3,469032.8,3,Very High
SO-106802,65,5,542234.0,4,Very High
SO-106810,18,1,237312.0,1,Very High
SO-106864,5,1,23305.0,1,High
SO-106914,107,6,1417055.6,6,Very High
SO-106993,4,1,37052.0,1,High
SO-107028,76,8,691764.8,7,Very High
SO-107037,9,1,7646.4,1,Medium
SO-107080,23,2,2076288.0,2,Very High
SO-107116,53,4,396877.0,4,Very High
SO-107216,111,10,2920611.4,9,Very High
SO-107247,109,9,1963680.0,9,Very High
SO-107281,40,5,814112.0,5,Very High
SO-107323,51,7,1937148.0,5,Very High
SO-107348,39,4,654339.0,3,Very High
SO-107395,118,12,2416735.6,10,Very High
SO-107427,100,7,2284110.4,7,Very High
SO-107462,49,4,1248174.6,4,Very High
SO-107495,69,7,3039726.6,7,Very High
SO-107542,36,4,265414.0,3,Very High
SO-107674,18,2,1071726.4,2,Very High
SO-107676,71,8,1107314.4,7,Very High
SO-107703,26,2,363097.6,2,Very High
SO-107753,105,11,2184590.4,10,Very High
SO-107807,75,10,2964818.1999999997,8,Very High
SO-107838,66,7,1955979.4,7,Very High
SO-107872,43,5,707221.6,5,Very High
SO-108016,42,3,899112.8,3,Very High
SO-108017,30,5,718596.4,5,Very High
SO-108101,111,11,1062289.8,8,Very High
SO-108154,30,3,276956.0,3,Very High
SO-108168,72,5,426270.8,4,Very High
SO-108181,106,9,1341290.6,7,Very High
SO-108191,53,6,502813.8,5,Very High
SO-108201,19,1,532608.0,1,Very High
SO-108210,88,9,1802387.6,8,Very High
SO-108421,127,11,4759006.0,11,Very High
SO-108429,71,7,3547731.6,7,Very High
SO-108452,25,3,727080.0,3,Very High
SO-108459,125,10,2614831.2,10,Very High
SO-108502,69,9,1277527.8,8,Very High
SO-108631,7,1,356608.0,1,Very High
SO-108770,20,1,331520.0,1,Very High
SO-108835,106,12,4175915.5999999996,10,Very High
SO-108905,38,4,328117.0,3,Very High
SO-108909,41,4,731852.0,4,Very High
SO-108931,29,2,2077330.0,2,Very High
SO-108954,91,11,2891744.4,11,Very High
SO-109111,15,1,5487.0,1,Medium
SO-109121,52,5,2959710.0,4,Very High
SO-109132,135,11,1472751.6,10,Very High
SO-109166,31,2,1164928.0,2,Very High
SO-109194,67,8,1389120.0,6,Very High
SO-109208,86,11,1245770.0,8,Very High
SO-109237,38,3,798819.2,3,Very High
SO-109243,33,4,543947.2,4,Very High
SO-109260,83,7,3868013.4,5,Very High
SO-109294,7,1,9499.0,1,Medium
SO-109313,39,5,307052.8,4,Very High
SO-109350,38,3,293687.0,3,Very High
SO-109359,74,5,2545343.2,4,Very High
SO-109375,116,11,961571.4,8,Very High
SO-109386,104,9,4651439.0,8,Very High
SO-109460,79,7,2764537.0,6,Very High
SO-109508,28,2,1557504.0,2,Very High
SO-109643,129,12,3205269.2,10,Very High
SO-109719,15,1,529920.0,1,Very High
SO-109777,83,12,1759003.2,11,Very High
SO-109806,81,6,2379109.0,6,Very High
SO-109811,14,2,769381.6,2,Very High
SO-109841,129,12,2131793.0,11,Very High
SO-109941,120,12,1285301.8,10,Very High
SO-109956,85,9,3205404.2,9,Very High
SO-110032,25,3,436577.0,3,Very High
SO-110096,7,2,149248.0,2,Very High
SO-110183,52,4,534917.2,4,Very High
SO-110228,54,5,823441.0,5,Very High
SO-110235,74,5,1851378.4,5,Very High
SO-110286,67,6,2717013.0,6,Very High
SO-110309,51,4,1086478.4,4,Very High
SO-110527,14,1,37170.0,1,High
SO-110643,18,3,929984.0,3,Very High
SO-110645,45,5,1146896.0,5,Very High
SO-110668,89,10,871244.2,9,Very High
SO-110707,97,10,1412783.8,8,Very High
SO-110760,114,10,3262731.6,8,Very High
SO-110796,79,8,1506586.2,8,Very High
SO-110797,9,3,610870.4,3,Very High
SO-110809,91,7,1974926.4,6,Very High
SO-110812,145,12,3353445.0,10,Very High
SO-110825,17,1,29087.0,1,High
SO-110839,108,12,1206721.4,8,Very High
SO-110901,28,3,558592.0,2,Very High
SO-110912,112,8,2281307.8,8,Very High
SO-110940,79,7,440611.8,6,Very High
SO-110968,57,6,1005504.0,5,Very High
SO-110975,96,10,1519383.8,8,Very High
SO-111028,118,12,1086194.0,10,Very High
SO-111062,74,8,581925.8,7,Very High
SO-111150,117,10,3814629.0,9,Very High
SO-111233,34,3,3206272.0,3,Very High
SO-111234,93,8,894630.8,7,Very High
SO-111255,28,4,101487.4,4,Very High
SO-111257,115,12,4361651.0,11,Very High
SO-111324,16,1,815104.0,1,Very High
SO-111380,61,8,1490720.0,8,Very High
SO-111413,25,2,238699.2,2,Very High
SO-111417,34,5,157522.8,4,Very High
SO-111491,96,11,1531822.8,9,Very High
SO-111538,25,3,509316.2,3,Very High
SO-111551,65,6,878418.0,6,Very High
SO-111569,9,1,282240.0,1,Very High
SO-111583,8,1,86528.0,1,Very High
SO-111590,101,11,1013664.0,11,Very High
SO-111637,4,1,203776.0,1,Very High
SO-111665,1,1,1711.0,1,Low
SO-111684,127,10,1897160.4,8,Very High
SO-111686,40,3,238006.0,3,Very High
SO-111854,25,2,540800.0,1,Very High
SO-111870,33,6,369360.6,5,Very High
SO-111967,89,12,3305864.6,10,Very High
SO-112011,17,1,183872.0,1,Very High
SO-112050,51,4,277295.4,4,Very High
SO-112068,97,9,2677844.0,9,Very High
SO-112087,102,8,3071119.0,8,Very High
SO-112106,12,2,11575.8,2,High
SO-112129,26,2,1033536.0,2,Very High
SO-112219,22,2,57560.0,2,Very High
SO-112295,24,3,2234147.2,3,Very High
SO-112341,129,11,1317942.2,9,Very High
SO-112398,24,3,1006814.0,3,Very High
SO-112462,147,12,1864036.0,10,Very High
SO-112687,114,8,2231019.6,7,Very High
SO-112696,75,7,2961676.0,7,Very High
SO-112697,105,12,4485719.6,9,Very High
SO-112775,38,4,234131.8,4,Very High
SO-112778,61,5,755878.0,4,Very High
SO-112782,88,8,2621081.8,8,Very High
SO-112784,46,4,1249166.0,4,Very High
SO-112795,110,11,2436047.0,11,Very High
SO-112886,73,6,1357616.6,6,Very High
SO-112976,19,2,13027.2,2,High
SO-112979,90,10,4186403.0,8,Very High
SO-113195,52,5,2918065.6,4,Very High
SO-113206,55,5,1643065.6,5,Very High
SO-113298,58,6,1717977.6,6,Very High
SO-113383,18,1,24426.0,1,High
SO-113388,98,8,435739.6,7,Very High
SO-113417,43,4,433080.4,3,Very High
SO-113495,118,12,1362246.6,10,Very High
SO-113497,63,8,1245068.8,7,Very High
SO-113516,107,12,1171188.4,10,Very High
SO-113554,44,4,404456.0,3,Very High
SO-113620,26,2,36414.8,2,High
SO-113634,13,1,8897.2,1,Medium
SO-113661,130,11,1765690.4,10,Very High
SO-113666,76,8,1263871.8,8,Very High
