product_id,product_total_sales,product_total_quantity,product_total_orders,product_unique_customers
P001,1423399040.0,45389,3854,500
P002,38522563.2,45342,3861,500
P003,67383900.0,45684,3895,500
P004,2321772800.0,45575,3781,500
P005,487001216.0,45026,3840,500
P006,669935616.0,46731,3936,500
P007,79506748.0,46468,3906,499
P008,31055334.4,45376,3860,500
P009,857210112.0,44946,3784,499
P010,2097975808.0,46964,3933,500
P011,1646708736.0,46612,3982,500
P012,144168192.0,45972,3883,500
P013,75422591.0,44081,3783,499
P014,4813340800.0,45035,3838,500
P015,6888215040.0,45222,3773,499
P016,557339016.0,46306,3934,500
P017,27966660.8,45578,3913,500
P018,651270528.0,45027,3839,500
P019,2341946624.0,45971,3849,499
P020,61526380.0,45340,3823,500
P021,2741781504.0,46364,3873,500
P022,991156608.0,45819,3892,500
P023,736587712.0,44437,3754,500
P024,580386048.0,44022,3762,500
P025,422374274.0,45598,3853,500
P026,16403935.2,44844,3823,500
P027,25872019.2,45678,3860,500
P028,122565420.0,46164,3917,500
P029,219374626.0,47066,3882,500
P030,1286584704.0,45897,3856,500
