product_id,product_name,unit_cost,reorder_level,safety_stock,max_stock_level,lead_time_days,last_purchase_price,last_purchase_date,stock_capacity_range,reorder_buffer,max_stock_value,safety_stock_value,reorder_stock_value,total_units_sold_x,total_revenue,total_units_sold_y,movement_category_x,movement_category_y,total_units_sold,movement_category,ABC_class
P001,Hydraulic Pump HP-300,18950.0,15.0,10.0,40.0,21.0,18500.0,2019-03-15,30.0,5.0,758000.0,189500.0,284250.0,45389,1112030500,45389,Medium-Moving,Medium-Moving,45389,Medium-Moving,A
P002,Engine Oil Filter OF-90,450.0,80.0,40.0,200.0,7.0,430.0,2019-07-22,160.0,40.0,90000.0,18000.0,36000.0,45342,32646240,45342,Medium-Moving,Medium-Moving,45342,Medium-Moving,C
P003,Air Filter AF-120,820.0,60.0,30.0,150.0,7.0,800.0,2020-01-10,120.0,30.0,123000.0,24600.0,49200.0,45684,57105000,45684,Medium-Moving,Medium-Moving,45684,Medium-Moving,C
P004,Track Chain TC-45,32500.0,8.0,4.0,20.0,30.0,32000.0,2020-06-18,16.0,4.0,650000.0,130000.0,260000.0,45575,1813885000,45575,Medium-Moving,Medium-Moving,45575,Medium-Moving,A
P005,Fuel Injector FI-220,6350.0,30.0,15.0,80.0,18.0,6200.0,2020-11-05,65.0,15.0,508000.0,95250.0,190500.0,45026,380469700,45026,Slow-Moving,Slow-Moving,45026,Slow-Moving,A
P006,Alternator ALT-500,8650.0,12.0,6.0,30.0,20.0,8400.0,2021-02-14,24.0,6.0,259500.0,51900.0,103800.0,46731,523387200,46731,Fast-Moving,Fast-Moving,46731,Fast-Moving,A
P007,Hydraulic Hose HH-60,980.0,70.0,35.0,200.0,10.0,950.0,2021-05-27,165.0,35.0,196000.0,34300.0,68600.0,46468,67378600,46468,Fast-Moving,Fast-Moving,46468,Fast-Moving,B
P008,Bucket Tooth BT-10,340.0,120.0,60.0,300.0,12.0,320.0,2021-08-09,240.0,60.0,102000.0,20400.0,40800.0,45376,26318080,45376,Medium-Moving,Medium-Moving,45376,Medium-Moving,C
P009,Starter Motor SM-700,11450.0,10.0,5.0,25.0,22.0,11000.0,2021-11-30,20.0,5.0,286250.0,57250.0,114500.0,44946,669695400,44946,Slow-Moving,Slow-Moving,44946,Slow-Moving,A
P010,Turbocharger TB-900,28900.0,6.0,3.0,15.0,28.0,28000.0,2022-03-12,12.0,3.0,433500.0,86700.0,173400.0,46964,1639043600,46964,Fast-Moving,Fast-Moving,46964,Fast-Moving,A
P011,Hydraulic Cylinder HC-200,21500.0,10.0,5.0,25.0,24.0,21000.0,2022-06-25,20.0,5.0,537500.0,107500.0,215000.0,46612,1286491200,46612,Fast-Moving,Fast-Moving,46612,Fast-Moving,A
P012,Brake Pad BP-40,1800.0,40.0,20.0,120.0,10.0,1750.0,2022-09-08,100.0,20.0,216000.0,36000.0,72000.0,45972,112631400,45972,Medium-Moving,Medium-Moving,45972,Medium-Moving,B
P013,Seal Kit SK-15,950.0,80.0,40.0,200.0,9.0,920.0,2022-12-19,160.0,40.0,190000.0,38000.0,76000.0,44081,63917450,44081,Slow-Moving,Slow-Moving,44081,Slow-Moving,B
P014,Transmission Assembly TA-800,68500.0,4.0,2.0,12.0,35.0,67000.0,2023-03-05,10.0,2.0,822000.0,137000.0,274000.0,45035,3760422500,45035,Slow-Moving,Slow-Moving,45035,Slow-Moving,A
P015,Engine Block EB-600,95500.0,3.0,2.0,8.0,40.0,94000.0,2023-06-17,6.0,1.0,764000.0,191000.0,286500.0,45222,5381418000,45222,Medium-Moving,Medium-Moving,45222,Medium-Moving,A
P016,Radiator RD-250,7800.0,20.0,10.0,60.0,16.0,7600.0,2023-09-28,50.0,10.0,468000.0,78000.0,156000.0,46306,472321200,46306,Fast-Moving,Fast-Moving,46306,Fast-Moving,A
P017,Fan Belt FB-30,320.0,50.0,25.0,150.0,5.0,310.0,2023-12-11,125.0,25.0,48000.0,8000.0,16000.0,45578,23700560,45578,Medium-Moving,Medium-Moving,45578,Medium-Moving,C
P018,Wheel Rim WR-24,8200.0,12.0,6.0,30.0,20.0,8000.0,2024-02-20,24.0,6.0,246000.0,49200.0,98400.0,45027,508805100,45027,Slow-Moving,Slow-Moving,45027,Slow-Moving,A
P019,Swing Motor SWM-350,31200.0,6.0,3.0,15.0,24.0,30500.0,2024-05-03,12.0,3.0,468000.0,93600.0,187200.0,45971,1829645800,45971,Medium-Moving,Medium-Moving,45971,Medium-Moving,A
P020,Pivot Pin PP-12,750.0,90.0,45.0,250.0,8.0,720.0,2024-07-19,205.0,45.0,187500.0,33750.0,67500.0,45340,52141000,45340,Medium-Moving,Medium-Moving,45340,Medium-Moving,B
P021,Boom Cylinder BC-400,35600.0,5.0,3.0,20.0,26.0,35000.0,2024-09-30,17.0,2.0,712000.0,106800.0,178000.0,46364,2142016800,46364,Fast-Moving,Fast-Moving,46364,Fast-Moving,A
