product_id,product_name,total_units_sold,total_revenue,total_orders,warehouses_served,customers_served,average_revenue_per_order,revenue_share_percentage,unit_share_percentage,revenue_score,unit_score,order_score,product_performance_score,performance_category
P001,Hydraulic Pump HP-300,45389,1112030500,3854,6,500,288539.3098079917,4.369919226019124,3.3166147132625134,20.664265440818756,96.43691836994859,96.78553490708187,58.620315212810326,High Performance
P002,Engine Oil Filter OF-90,45342,32646240,3861,6,500,8455.384615384615,0.12828913580448967,3.3131803813423706,0.6066475415959139,96.33705859856371,96.96132596685084,48.59670654373724,Low Performance
P003,Air Filter AF-120,45684,57105000,3895,6,500,14661.103979460848,0.2244041304638875,3.3381706263782998,1.061151540356092,97.06369778608762,97.8151682571572,49.212718757435766,Low Performance
P004,Track Chain TC-45,45575,1813885000,3781,6,500,479736.84210526315,7.127979794877656,3.3302058991592465,33.70645060465476,96.83210810351422,94.95228528377699,64.89331479013704,High Performance
P005,Fuel Injector FI-220,45026,380469700,3840,6,500,99080.65104166667,1.4951225321137578,3.290089979496308,7.0700640611823875,95.66566098669954,96.43395278754396,51.52152088410985,Medium Performance
P006,Alternator ALT-500,46731,523387200,3936,6,500,132974.39024390245,2.0567419580059325,3.414675850216363,9.725823193812486,99.28823354438448,98.84480160723254,54.41834198166809,Medium Performance
P007,Hydraulic Hose HH-60,46468,67378600,3906,6,499,17250.025601638506,0.26477604666621296,3.39545820564195,1.252060330567148,98.72944375982662,98.09141135107986,49.86314556344753,Medium Performance
P008,Bucket Tooth BT-10,45376,26318080,3860,6,500,6818.155440414508,0.10342151926939896,3.3156647916675803,0.48905474356387113,96.40929758211873,96.93621295831241,48.55455923808003,Low Performance
P009,Starter Motor SM-700,44946,669695400,3784,6,499,176980.81395348837,2.6316857352712604,3.2842443081428736,12.444589883186923,95.49568690774657,95.02762430939227,53.87652587579589,Medium Performance
P010,Turbocharger TB-900,46964,1639043600,3933,6,500,416741.31706076785,6.440909795121265,3.431701368033239,30.457466786635045,99.78328304933498,98.76946258161728,64.91761082444148,High Performance
P011,Hydraulic Cylinder HC-200,46612,1286491200,3982,6,500,323076.6449020593,5.0554931982390885,3.4059804140781305,23.906174915236093,99.03539710194195,100.0,61.66370658820063,High Performance
P012,Brake Pad BP-40,45972,112631400,3883,6,500,29006.28380118465,0.4426048748783872,3.3592150432506607,2.0929688048763357,97.67560447031828,97.51381215469614,49.851928174472874,Medium Performance
P013,Seal Kit SK-15,44081,63917450,3783,6,499,16895.968807824476,0.25117484964046943,3.2210379866338728,1.187743639315883,93.6578421790677,95.00251130085384,47.69172673354902,Low Performance
P014,Transmission Assembly TA-800,45035,3760422500,3838,6,500,979786.9984366858,14.777240894656124,3.2907476175235693,69.87791136090897,95.68478307058173,96.3837267704671,82.92113595572242,High Performance
P015,Engine Block EB-600,45222,5381418000,3773,6,499,1426296.8460111318,21.147227509897775,3.30441187431222,100.0,96.08209748013428,94.7513812154696,97.7749054871342,High Performance
P016,Radiator RD-250,46306,472321200,3934,6,500,120061.31164209456,1.8560691390536712,3.383620721151247,8.776891146534242,98.38524624994687,98.7945755901557,53.662934566282324,Medium Performance
P017,Fan Belt FB-30,45578,23700560,3913,6,500,6056.87707641196,0.09313551454876444,3.3304251118350003,0.44041477543651136,96.83848213147495,98.26720241084882,48.9251925093305,Low Performance
P018,Wheel Rim WR-24,45027,508805100,3839,6,500,132535.84266736128,1.9994390340791757,3.2901630503882258,9.454851862464503,95.66778566268644,96.40883977900553,52.70952958583929,Medium Performance
P019,Swing Motor SWM-350,45971,1829645800,3849,6,499,475356.1444531047,7.189914627544064,3.359141972358743,33.999325084949724,97.67347979433137,96.65996986438975,65.63370045365222,High Performance
P020,Pivot Pin PP-12,45340,52141000,3823,6,500,13638.765367512426,0.20489722032252092,3.313034239558535,0.9689081948289466,96.33280924658989,96.00703164239076,48.58570319986959,Low Performance
P021,Boom Cylinder BC-400,46364,2142016800,3873,6,500,553063.9814097598,8.417431353524888,3.3878588328824857,39.80394758407542,98.50847745718778,97.26268206931191,68.90705344305643,High Performance
P022,Control Valve CV-75,45819,774341100,3892,6,500,198957.11716341213,3.0429093989659424,3.348035196787219,14.389164714578945,97.35052904432074,97.73982923154195,55.94770691689408,Medium Performance
P023,Idler Wheel IW-55,44437,575459150,3754,6,500,153292.26158763986,2.2613678342218337,3.2470512241566523,10.693448269582479,94.41422683040837,94.27423405323958,52.52583899456167,Medium Performance
P024,Track Roller TR-60,44022,453426600,3762,6,500,120528.0701754386,1.78181948869971,3.2167268040107153,8.42578294419798,93.53248629583989,94.47513812154696,51.16766498516035,Medium Performance
P025,Cabin Glass CG-20,45598,357944300,3853,6,500,92900.15572281339,1.4066050152526905,3.3318865296733584,6.651486652774417,96.88097565121319,96.76042189854344,51.74212040145986,Medium Performance
P026,Grease Cartridge GC-5,44844,13901640,3823,6,500,3636.3170285116403,0.05462893680451794,3.276791077167246,0.25832670868533164,95.27896995708154,96.00703164239076,47.91426066994528,Low Performance
P027,O-Ring Set OR-50,45678,21925440,3860,6,500,5680.165803108808,0.08615986863213619,3.337732201026792,0.4074286740037663,97.05094973016615,96.93621295831241,48.70624184771421,Low Performance
P028,Light Assembly LA-18,46164,103869000,3917,6,500,26517.48787337248,0.4081714845837235,3.373244654498902,1.9301418325058564,98.08354225980538,98.3676544450025,50.06366448319504,Medium Performance
P029,Pressure Sensor PS-90,47066,185910700,3882,6,500,47890.44307058217,0.7305687589078478,3.4391545990088668,3.454678673910854,100.0,97.48869914615771,51.22507916618697,Medium Performance
P030,Fuel Pump FP-350,45897,1005144300,3856,6,500,260670.20228215767,3.949891123933681,3.353734726356817,18.678056601438506,97.51625377129987,96.8357609241587,57.96105661694095,Medium Performance
