customer_id,total_orders,total_units,total_revenue,products_purchased,branches_used,customer_type,industry_segment,city,state,region,average_order_value,average_units_per_order,revenue_share_percentage,customer_value_category,revenue_score,order_score,unit_score,customer_performance_score,performance_category
C0001,40,2656,52640600,30,1,Retail,Construction,Kolkata,West Bengal,East,1316015.0,66.4,0.20686048629887602,Medium Value,61.297655647576036,63.49206349206349,57.4146130566364,61.179369482734344,Medium Performance
C0002,56,3636,61160690,30,1,Fleet Owner,Manufacturing,Hyderabad,Telangana,South,1092155.1785714286,64.92857142857143,0.2403416768763047,High Value,71.21892445732281,88.88888888888889,78.59922178988327,77.99597325330473,High Performance
C0003,40,2365,39965740,30,1,Government,Logistics,Surat,Gujarat,West,999143.5,59.125,0.1570523970413415,Low Value,46.53834052462463,63.49206349206349,51.1240812797233,52.54160556587602,Low Performance
C0004,47,2995,49040570,30,1,Fleet Owner,Logistics,Chennai,Tamil Nadu,South,1043416.3829787234,63.723404255319146,0.1927135359128519,Medium Value,57.1055795834555,74.60317460317461,64.74275832252486,63.88229383718511,Medium Performance
C0005,51,3747,67256610,30,1,Dealer,Construction,Ahmedabad,Gujarat,West,1318757.0588235294,73.47058823529412,0.2642966655283916,High Value,78.31735428173917,80.95238095238095,80.99870298313878,79.64413202321163,High Performance
C0006,46,3221,60992880,30,1,Government,Construction,Ahmedabad,Gujarat,West,1325932.1739130435,70.02173913043478,0.23968223799821792,High Value,71.02351711785062,73.01587301587301,69.62818849978383,71.34215816364397,High Performance
C0007,36,2263,37839490,30,1,Corporate,Manufacturing,Pune,Maharashtra,West,1051096.9444444445,62.861111111111114,0.1486969240985372,Low Value,44.06241623195588,57.14285714285714,48.91915261565067,48.95789578196522,Low Performance
C0008,36,2319,38574950,30,1,Corporate,Logistics,Mumbai,Maharashtra,West,1071526.388888889,64.41666666666667,0.15158704338390572,Low Value,44.91882694578829,57.14285714285714,50.12970168612192,49.62821095297567,Low Performance
C0009,34,2677,54041610,30,1,Corporate,Rental,Ahmedabad,Gujarat,West,1589459.1176470588,78.73529411764706,0.21236600124189697,Medium Value,62.92906996539935,53.96825396825397,57.86856895806313,59.22872496478849,Medium Performance
C0010,50,3255,54508210,30,1,Dealer,Construction,Chennai,Tamil Nadu,South,1090164.2,65.1,0.21419958792037436,Medium Value,63.472405074139736,79.36507936507937,70.36316472114137,69.61835929082196,High Performance
C0011,41,2717,44933810,30,1,Retail,Infrastructure,Vadodara,Gujarat,West,1095946.5853658537,66.26829268292683,0.17657530096277968,Medium Value,52.32343879654883,65.07936507936508,58.73324686554259,57.43217829519245,Medium Performance
C0012,38,2001,42822150,30,1,Fleet Owner,Logistics,Chennai,Tamil Nadu,South,1126898.6842105263,52.6578947368421,0.16827716198834006,Low Value,49.864503915017075,60.317460317460316,43.255512321660184,51.67859251707867,Low Performance
C0013,49,3585,64377720,30,1,Dealer,Construction,Surat,Gujarat,West,1313831.0204081633,73.16326530612245,0.2529835614718084,High Value,74.96501392339884,77.77777777777779,77.49675745784695,76.31519178660216,High Performance
C0014,31,2054,43395470,30,1,Fleet Owner,Construction,Kolkata,West Bengal,East,1399853.8709677418,66.25806451612904,0.17053012365680267,Medium Value,50.53210975415775,49.2063492063492,44.40121054907047,48.90820174879772,Low Performance
C0015,38,2619,51005500,30,1,Government,Rental,Pune,Maharashtra,West,1342250.0,68.92105263157895,0.20043507357281873,Medium Value,59.39365385524555,60.317460317460316,56.6147859922179,59.11502222130445,Medium Performance
C0016,41,3051,60898100,30,1,Government,Rental,Ranchi,Jharkhand,East,1485319.512195122,74.41463414634147,0.2393097833360103,High Value,70.91314999053297,65.07936507936508,65.95330739299611,68.17104599767524,High Performance
C0017,40,2469,46619950,30,1,Government,Infrastructure,Chennai,Tamil Nadu,South,1165498.75,61.725,0.18320128433622118,Medium Value,54.28687441646205,63.49206349206349,53.37224383916991,56.86550502368405,Medium Performance
C0018,36,2257,46340880,30,1,Retail,Construction,Ahmedabad,Gujarat,West,1287246.6666666667,62.69444444444444,0.1821046297405018,Medium Value,53.96190971694173,57.14285714285714,48.78945092952875,53.881702187233756,Medium Performance
C0019,43,2359,43064130,30,1,Government,Logistics,Kolkata,West Bengal,East,1001491.3953488372,54.86046511627907,0.16922806491259632,Medium Value,50.14627894633512,68.25396825396825,50.99437959360138,55.748205868078315,Medium Performance
C0020,41,2338,38461450,30,1,Dealer,Logistics,Kolkata,West Bengal,East,938084.1463414634,57.02439024390244,0.15114102519272016,Low Value,44.786661204592335,65.07936507936508,50.54042369217466,52.025224864540625,Low Performance
C0021,47,2628,51375230,30,1,Corporate,Mining,Hyderabad,Telangana,South,1093090.0,55.91489361702128,0.20188799256688952,Medium Value,59.8241881239009,74.60317460317461,56.809338521400775,63.65491414718299,Medium Performance
C0022,39,2583,44585750,30,1,Retail,Infrastructure,Chennai,Tamil Nadu,South,1143224.358974359,66.23076923076923,0.1752075380409819,Medium Value,51.91813828658702,61.904761904761905,55.83657587548638,55.69781288981936,Medium Performance
C0023,37,2461,53343670,30,1,Corporate,Mining,Chennai,Tamil Nadu,South,1441720.810810811,66.51351351351352,0.20962332338853976,Medium Value,62.116349635793135,58.730158730158735,53.19930825767402,59.31708408847899,Medium Performance
C0024,48,2666,49014090,30,1,Dealer,Rental,Visakhapatnam,Andhra Pradesh,South,1021126.875,55.541666666666664,0.19260947810049422,Medium Value,57.07474479202934,76.19047619047619,57.63078253350626,62.920671759858784,Medium Performance
C0025,44,3107,58809760,30,1,Corporate,Infrastructure,Pune,Maharashtra,West,1336585.4545454546,70.61363636363636,0.23110328439873762,High Value,68.48137021987955,69.84126984126983,67.16385646346735,68.6258373550142,High Performance
C0026,41,3118,60102980,30,1,Fleet Owner,Mining,Jaipur,Rajasthan,North,1465926.3414634147,76.04878048780488,0.23618521959878155,High Value,69.98726783952215,65.07936507936508,67.40164288802421,67.99777202117545,High Performance
C0027,44,2664,47252220,30,1,Fleet Owner,Logistics,Surat,Gujarat,West,1073914.0909090908,60.54545454545455,0.18568590038680174,Medium Value,55.023124929113756,69.84126984126983,57.58754863813229,59.981453144564284,Medium Performance
C0028,34,2094,33463430,30,1,Retail,Infrastructure,Bengaluru,Karnataka,South,984218.5294117647,61.588235294117645,0.13150042748426874,Low Value,38.96668747937457,53.96825396825397,45.26588845654994,44.726997621473465,Low Performance
C0029,38,2565,45653420,30,1,Dealer,Construction,Visakhapatnam,Andhra Pradesh,South,1201405.7894736843,67.5,0.17940313488840995,Medium Value,53.16139288484859,60.317460317460316,55.447470817120625,55.76542870108651,Medium Performance
C0030,38,2832,50515670,30,1,Corporate,Construction,Hyderabad,Telangana,South,1329359.7368421052,74.52631578947368,0.19851020052798685,Medium Value,58.82326843665512,60.317460317460316,61.21919584954605,59.75071148347486,Medium Performance
C0031,40,2659,52182080,30,1,Government,Mining,Kolkata,West Bengal,East,1304552.0,66.475,0.20505865140000024,Medium Value,60.76372934226176,63.49206349206349,57.47946389969736,60.925376498689396,Medium Performance
C0032,45,3056,58165930,30,1,Government,Logistics,Ahmedabad,Gujarat,West,1292576.2222222222,67.91111111111111,0.22857324129714296,High Value,67.73165859737564,71.42857142857143,66.06139213143103,68.50667915354545,High Performance
C0033,34,2412,45334540,30,1,Government,Mining,Chennai,Tamil Nadu,South,1333368.8235294118,70.94117647058823,0.17815003990334166,Medium Value,52.790071197160785,53.96825396825397,52.14007782101168,53.01352735325892,Medium Performance
C0034,33,1992,33729240,30,1,Government,Construction,Pune,Maharashtra,West,1022098.1818181818,60.36363636363637,0.13254497458029546,Low Value,39.27621149406442,52.38095238095239,43.060959792477306,43.96458341981338,Low Performance
C0035,46,3072,54533770,30,1,Dealer,Infrastructure,Indore,Madhya Pradesh,Central,1185516.7391304348,66.78260869565217,0.2143000304310942,Medium Value,63.50216856616589,73.01587301587301,66.40726329442282,66.9372988467294,Medium Performance
C0036,39,2544,47362410,30,1,Fleet Owner,Construction,Kolkata,West Bengal,East,1214420.7692307692,65.23076923076923,0.1861189113514426,Medium Value,55.15143632138143,61.904761904761905,54.99351491569391,57.145849715258066,Medium Performance
C0037,38,2071,38561970,30,1,Corporate,Construction,Pune,Maharashtra,West,1014788.6842105263,54.5,0.15153603619340716,Low Value,44.9037123086013,60.317460317460316,44.76869865974925,49.5008339814886,Low Performance
C0038,41,2784,52105520,30,1,Fleet Owner,Rental,Jaipur,Rajasthan,North,1270866.3414634147,67.90243902439025,0.2047577954289239,Medium Value,60.67457860088764,65.07936507936508,60.18158236057069,61.897415296367484,Medium Performance
C0039,40,3061,53722520,30,1,Fleet Owner,Rental,Hyderabad,Telangana,South,1343063.0,76.525,0.2111120810249331,Medium Value,62.557503741978934,63.49206349206349,66.16947686986597,63.56026629258171,Medium Performance
C0040,45,2696,43439870,30,1,Government,Logistics,Delhi,Delhi,North,965330.4444444445,59.91111111111111,0.17070460125758363,Medium Value,50.58381159476656,71.42857142857143,58.27929096411587,58.376335418777884,Medium Performance
C0041,42,3138,60948700,30,1,Government,Rental,Hyderabad,Telangana,South,1451159.5238095238,74.71428571428571,0.2395086249260895,High Value,70.97207145753312,66.66666666666666,67.83398184176394,69.05283209711934,High Performance
C0042,44,3165,61493750,30,1,Fleet Owner,Rental,Chennai,Tamil Nadu,South,1397585.2272727273,71.93181818181819,0.2416504946627035,High Value,71.6067581292411,69.84126984126983,68.41763942931259,70.43928790286401,High Performance
C0043,37,2535,39495710,30,1,Corporate,Construction,Chennai,Tamil Nadu,South,1067451.6216216215,68.51351351351352,0.15520533157523625,Low Value,45.99101133225163,58.730158730158735,54.79896238651103,51.574345762475645,Low Performance
C0044,38,2372,43843570,30,1,Government,Mining,Mumbai,Maharashtra,West,1153778.1578947369,62.421052631578945,0.17229101133495464,Medium Value,51.05390242931113,60.317460317460316,51.275399913532205,53.8772692926001,Medium Performance
C0045,43,2991,60965470,30,1,Corporate,Rental,Kolkata,West Bengal,East,1417801.6279069767,69.55813953488372,0.2395745255874655,High Value,70.99159938246576,68.25396825396825,64.65629053177692,68.90324827377874,High Performance
C0046,51,3471,76069120,30,1,Retail,Rental,Ahmedabad,Gujarat,West,1491551.3725490195,68.05882352941177,0.2989269718720447,High Value,88.57913327686498,80.95238095238095,75.03242542153048,83.58176600845286,High Performance
C0047,36,2568,50441290,30,1,Corporate,Rental,Pune,Maharashtra,West,1401146.9444444445,71.33333333333333,0.1982179112499218,Medium Value,58.736656209076656,57.14285714285714,55.512321660181584,57.613649579431794,Medium Performance
C0048,34,2181,40336880,30,1,Dealer,Mining,Hyderabad,Telangana,South,1186378.8235294118,64.1470588235294,0.15851085687813982,Low Value,46.970516676056064,53.96825396825397,47.146562905317765,49.10504710956778,Low Performance
C0049,42,3157,66038070,30,1,Dealer,Manufacturing,Coimbatore,Tamil Nadu,South,1572335.0,75.16666666666667,0.25950819850912066,High Value,76.8984182264359,66.66666666666666,68.2447038478167,72.09814988278129,High Performance
C0050,30,2194,50086150,30,1,Dealer,Mining,Kolkata,West Bengal,East,1669538.3333333333,73.13333333333334,0.19682232622421572,Medium Value,58.32311135155831,47.61904761904761,47.42758322524859,52.93278660654316,Medium Performance
C0051,37,2634,47017080,30,1,Retail,Infrastructure,Jaipur,Rajasthan,North,1270731.8918918918,71.1891891891892,0.18476187644428746,Medium Value,54.749314775943546,58.730158730158735,56.939040207522694,56.381513048523935,Medium Performance
C0052,37,2379,45097920,30,1,Government,Manufacturing,Guwahati,Assam,North East,1218862.7027027027,64.29729729729729,0.17722020004080136,Medium Value,52.51453764930362,58.730158730158735,51.42671854734111,54.16166015316765,Medium Performance
C0053,31,2062,38021810,29,1,Fleet Owner,Construction,Delhi,Delhi,North,1226510.0,66.51612903225806,0.14941338257093323,Low Value,44.274719826095506,49.2063492063492,44.57414613056637,45.81409390106579,Low Performance
C0054,42,2612,56103080,30,1,Fleet Owner,Manufacturing,Chennai,Tamil Nadu,South,1335787.619047619,62.19047619047619,0.2204669097932916,Medium Value,65.32956080683749,66.66666666666666,56.46346735840899,63.95747387510055,Medium Performance
C0055,37,2941,53940970,30,1,Dealer,Construction,Delhi,Delhi,North,1457864.054054054,79.48648648648648,0.21197051868012678,Medium Value,62.811879126686044,58.730158730158735,63.57544314742758,61.74007581187616,Medium Performance
C0056,38,2686,51714180,30,1,Dealer,Mining,Delhi,Delhi,North,1360899.4736842106,70.6842105263158,0.20321995614312163,Medium Value,60.21888044089094,60.317460317460316,58.06312148724601,59.81730261313277,Medium Performance
C0057,35,2363,41341790,30,1,Retail,Logistics,Kolkata,West Bengal,East,1181194.0,67.51428571428572,0.16245982727905856,Low Value,48.14069002394354,55.55555555555556,51.080847384349326,50.953181155508304,Low Performance
C0058,41,2554,44614910,30,1,Retail,Infrastructure,Pune,Maharashtra,West,1088168.536585366,62.292682926829265,0.1753221273841975,Medium Value,51.95209381974363,65.07936507936508,55.20968439256377,56.541793312194095,Medium Performance
C0059,39,2659,47904570,30,1,Retail,Manufacturing,Hyderabad,Telangana,South,1228322.3076923077,68.17948717948718,0.18824942432530306,Medium Value,55.782757715626374,61.904761904761905,57.47946389969736,57.95870020918123,Medium Performance
C0060,50,3565,64410620,30,1,Dealer,Mining,Hyderabad,Telangana,South,1288212.4,71.3,0.25311284780211685,High Value,75.00332452150762,79.36507936507937,77.06441850410722,76.72406977109907,High Performance
C0061,32,1620,31227160,30,1,Dealer,Construction,Surat,Gujarat,West,975848.75,50.625,0.12271261162169143,Low Value,36.36264975193597,50.79365079365079,35.019455252918284,40.423311164646876,Low Performance
C0062,38,3113,63839240,30,1,Dealer,Construction,Hyderabad,Telangana,South,1679980.0,81.92105263157895,0.25086750970449917,High Value,74.3379777267539,60.317460317460316,67.29355814958929,68.72293858853291,High Performance
C0063,43,2940,60573240,30,1,Retail,Rental,Delhi,Delhi,North,1408680.0,68.37209302325581,0.2380331888902963,High Value,70.53486485674514,68.25396825396825,63.55382619974059,68.45438814451117,High Performance
