customer_id,total_orders,total_units,total_revenue,products_purchased,branches_used,customer_type,industry_segment,city,state,region,average_order_value,average_units_per_order,revenue_share_percentage,customer_value_category,revenue_share,cumulative_revenue_share
C0153,59,4256,85877020,30,1,Retail,Rental,Patna,Bihar,East,1455542.7118644067,72.13559322033899,0.33746883810401673,High Value,0.0033746883810401676,0.0033746883810401676
C0483,53,3846,85183900,30,1,Corporate,Rental,Delhi,Delhi,North,1607243.3962264152,72.56603773584905,0.334745101287501,High Value,0.00334745101287501,0.006722139393915178
C0288,63,4626,84094790,30,1,Dealer,Infrastructure,Delhi,Delhi,North,1334837.9365079366,73.42857142857143,0.3304652521932094,High Value,0.003304652521932094,0.010026791915847271
C0495,52,3819,82914040,30,1,Fleet Owner,Infrastructure,Jaipur,Rajasthan,North,1594500.7692307692,73.4423076923077,0.32582528761838697,High Value,0.0032582528761838695,0.013285044792031141
C0420,54,4133,82700390,30,1,Retail,Rental,Chennai,Tamil Nadu,South,1531488.7037037036,76.53703703703704,0.3249857124065209,High Value,0.003249857124065209,0.01653490191609635
C0240,50,3799,81776260,30,1,Corporate,Manufacturing,Hyderabad,Telangana,South,1635525.2,75.98,0.3213541812081041,High Value,0.003213541812081041,0.01974844372817739
C0207,51,3583,79795630,30,1,Corporate,Rental,Kolkata,West Bengal,East,1564620.1960784313,70.25490196078431,0.313570947639753,High Value,0.00313570947639753,0.02288415320457492
C0342,44,3725,78469470,30,1,Dealer,Infrastructure,Delhi,Delhi,North,1783397.0454545454,84.6590909090909,0.30835956892237293,High Value,0.003083595689223729,0.02596774889379865
C0359,52,3851,78412380,30,1,Fleet Owner,Mining,Hyderabad,Telangana,South,1507930.3846153845,74.0576923076923,0.30813522373704444,High Value,0.0030813522373704444,0.029049101131169094
C0466,52,3880,78342990,30,1,Retail,Manufacturing,Bengaluru,Karnataka,South,1506595.9615384615,74.61538461538461,0.30786254354068876,High Value,0.003078625435406888,0.03212772656657598
C0475,58,4343,76825820,30,1,Fleet Owner,Construction,Kolkata,West Bengal,East,1324583.103448276,74.87931034482759,0.3019005574691382,High Value,0.003019005574691382,0.035146732141267366
C0178,58,3957,76367620,30,1,Dealer,Logistics,Kolkata,West Bengal,East,1316683.103448276,68.22413793103448,0.30009998006648425,High Value,0.0030009998006648424,0.03814773194193221
C0046,51,3471,76069120,30,1,Retail,Rental,Ahmedabad,Gujarat,West,1491551.3725490195,68.05882352941177,0.2989269718720447,High Value,0.002989269718720447,0.04113700166065266
C0206,46,3567,75741580,30,1,Retail,Construction,Pune,Maharashtra,West,1646556.0869565217,77.54347826086956,0.29763984589547277,High Value,0.0029763984589547274,0.044113400119607384
C0254,52,3634,75547750,30,1,Dealer,Mining,Ahmedabad,Gujarat,West,1452841.3461538462,69.88461538461539,0.29687815685584723,High Value,0.002968781568558472,0.04708218168816586
C0110,44,3776,74097790,30,1,Dealer,Logistics,Indore,Madhya Pradesh,Central,1684040.6818181819,85.81818181818181,0.291180284287641,High Value,0.00291180284287641,0.04999398453104227
C0083,50,3739,74075280,30,1,Dealer,Infrastructure,Delhi,Delhi,North,1481505.6,74.78,0.2910918272877856,High Value,0.002910918272877856,0.05290490280392013
C0490,50,4114,73710890,30,1,Government,Logistics,Pune,Maharashtra,West,1474217.8,82.28,0.28965989276191684,High Value,0.0028965989276191683,0.0558015017315393
C0200,52,3792,73304770,30,1,Retail,Logistics,Ranchi,Jharkhand,East,1409707.1153846155,72.92307692307692,0.28806397286936813,High Value,0.0028806397286936813,0.05868214146023298
C0291,54,3766,73179030,30,1,Retail,Construction,Hyderabad,Telangana,South,1355167.2222222222,69.74074074074075,0.287569855447697,High Value,0.00287569855447697,0.061557840014709944
C0462,52,3826,72302020,30,1,Retail,Logistics,Chennai,Tamil Nadu,South,1390423.4615384615,73.57692307692308,0.28412349056794683,High Value,0.0028412349056794683,0.06439907492038942
C0134,50,3863,71908050,30,1,Fleet Owner,Infrastructure,Ahmedabad,Gujarat,West,1438161.0,77.26,0.28257531623507126,High Value,0.0028257531623507126,0.06722482808274013
C0304,51,3790,71638560,30,1,Dealer,Construction,Delhi,Delhi,North,1404677.6470588236,74.31372549019608,0.2815163079324933,High Value,0.002815163079324933,0.07003999116206507
C0380,58,4063,71455250,30,1,Fleet Owner,Manufacturing,Hyderabad,Telangana,South,1231987.0689655172,70.05172413793103,0.28079595908116095,High Value,0.0028079595908116098,0.07284795075287667
C0371,51,3092,71366470,30,1,Retail,Rental,Hyderabad,Telangana,South,1399342.549019608,60.627450980392155,0.2804470824731129,High Value,0.002804470824731129,0.0756524215776078
C0241,46,3441,71234710,30,1,Government,Construction,Ahmedabad,Gujarat,West,1548580.652173913,74.80434782608695,0.27992930840376834,High Value,0.0027992930840376835,0.0784517146616455
C0084,47,3136,71147780,30,1,Corporate,Logistics,Pune,Maharashtra,West,1513782.5531914893,66.72340425531915,0.2795877016957528,High Value,0.0027958770169575283,0.08124759167860303
C0107,52,4068,70691460,30,1,Fleet Owner,Construction,Delhi,Delhi,North,1359451.1538461538,78.23076923076923,0.2777945120834022,High Value,0.0027779451208340225,0.08402553679943706
C0468,56,3955,70116180,30,1,Fleet Owner,Rental,Hyderabad,Telangana,South,1252074.642857143,70.625,0.2755338482505808,High Value,0.0027553384825058083,0.08678087528194287
C0421,45,3405,69154590,30,1,Retail,Construction,Chennai,Tamil Nadu,South,1536768.6666666667,75.66666666666667,0.2717551114006943,High Value,0.002717551114006943,0.0894984263959498
C0294,51,4025,69115310,30,1,Government,Infrastructure,Hyderabad,Telangana,South,1355202.156862745,78.92156862745098,0.27160075373946285,High Value,0.0027160075373946287,0.09221443393334444
C0142,48,3418,68942040,30,1,Retail,Manufacturing,Ahmedabad,Gujarat,West,1436292.5,71.20833333333333,0.2709198588320909,High Value,0.002709198588320909,0.09492363252166536
C0307,48,3291,68834490,30,1,Dealer,Manufacturing,Ahmedabad,Gujarat,West,1434051.875,68.5625,0.27049722221128025,High Value,0.0027049722221128025,0.09762860474377816
C0070,48,3393,68783440,30,1,Government,Logistics,Ahmedabad,Gujarat,West,1432988.3333333333,70.6875,0.2702966122671391,High Value,0.002702966122671391,0.10033157086644955
C0076,49,3370,68416560,30,1,Government,Mining,Chennai,Tamil Nadu,South,1396256.3265306123,68.77551020408163,0.2688548928487941,High Value,0.002688548928487941,0.10302011979493748
