order_date,total_revenue,total_units,total_orders,revenue_growth_percentage,unit_growth_percentage,month_number,month_name
2019-01-31,392951210,19023,286,,,1,January
2019-02-28,281974060,15213,237,-28.241966731696788,-20.028386689796562,2,February
2019-03-31,368326180,19796,294,30.624136135075688,30.12555051600605,3,March
2019-04-30,368885680,19672,281,0.15190340257649204,-0.6263891695291957,4,April
2019-05-31,364324690,20130,285,-1.2364237072038153,2.3281821878812448,5,May
2019-06-30,349101010,18943,271,-4.1786023340883105,-5.896671634376549,6,June
2019-07-31,398285610,21398,290,14.088930879919248,12.95993242886555,7,July
2019-08-31,378476380,20690,297,-4.973624329535786,-3.308720441162727,8,August
2019-09-30,327429320,18280,272,-13.487515389996062,-11.648139197680042,9,September
2019-10-31,350047720,18189,264,6.9078725142879716,-0.49781181619256154,10,October
2019-11-30,347343600,18893,294,-0.7725003893754856,3.8704711638902545,11,November
2019-12-31,313009840,17463,265,-9.884667516545576,-7.568940877573704,12,December
2020-01-31,344476000,18104,273,10.0527702260095,3.6706178777987652,1,January
2020-02-29,302530350,17232,247,-12.176653816231031,-4.8166151126822765,2,February
2020-03-31,348644830,19000,257,15.242926866676342,10.259981429897858,3,March
2020-04-30,326825510,17359,248,-6.258323119261511,-8.636842105263154,4,April
2020-05-31,390087550,21350,320,19.356518406412036,22.990955700213146,5,May
2020-06-30,340126790,18090,265,-12.80757614540633,-15.26932084309134,6,June
2020-07-31,429255230,23537,333,26.20447510177013,30.110558319513547,7,July
2020-08-31,407732980,22685,294,-5.01385853819416,-3.619832603985218,8,August
2020-09-30,352835480,18442,265,-13.46408132106458,-18.703989420321797,9,September
2020-10-31,338214480,18035,272,-4.143857641527438,-2.20691898926364,10,October
2020-11-30,344774160,19603,287,1.9395030041292172,8.694205711117275,11,November
2020-12-31,394043830,20225,297,14.29041840026526,3.1729837269805605,12,December
2021-01-31,376010890,19601,283,-4.576379231721505,-3.0852904820766414,1,January
2021-02-28,352421960,18961,270,-6.273469898704265,-3.265139533697259,2,February
2021-03-31,336988670,18327,265,-4.379207811000196,-3.3437055007647265,3,March
2021-04-30,353973940,18245,278,5.040308921958703,-0.4474272930648726,4,April
2021-05-31,330419100,17986,271,-6.654399473588368,-1.419567004658806,5,May
2021-06-30,330486730,17879,271,0.020467945103663787,-0.5949071500055636,6,June
2021-07-31,337100070,18677,282,2.0010909363894935,4.463336875664181,7,July
2021-08-31,364567330,19718,256,8.148102728071226,5.57370027306312,8,August
2021-09-30,351274940,18680,277,-3.6460727295558826,-5.2642255806876985,9,September
2021-10-31,366036550,21254,302,4.2022952163909055,13.779443254817991,10,October
2021-11-30,355543770,20157,307,-2.8665935136805376,-5.1613813870330265,11,November
2021-12-31,395988590,20847,303,11.375482686702675,3.4231284417324037,12,December
2022-01-31,356761440,20170,289,-9.906131386260398,-3.2474696599031017,1,January
2022-02-28,323782500,16682,246,-9.243975469994737,-17.293009419930595,2,February
2022-03-31,373132850,19026,285,15.241821284349832,14.051073012828198,3,March
2022-04-30,335667010,18251,263,-10.04088490198598,-4.073373278671289,4,April
2022-05-31,388237960,20903,306,15.661637406666795,14.530710645992006,5,May
2022-06-30,338985710,17812,266,-12.686098494850938,-14.787351097928525,6,June
2022-07-31,336471190,18093,262,-0.7417775811257687,1.5775881428250704,7,July
2022-08-31,379471030,20195,293,12.779649871360466,11.617752722047193,8,August
2022-09-30,350608970,18347,264,-7.605866513709891,-9.15077989601386,9,September
2022-10-31,374677670,19290,278,6.864827217626512,5.139804872731246,10,October
2022-11-30,346547710,17876,256,-7.507775950458962,-7.330222913426643,11,November
2022-12-31,342372380,18390,271,-1.204835547751848,2.8753636160214757,12,December
2023-01-31,314755010,17161,260,-8.0664713666447,-6.682979880369766,1,January
2023-02-28,335486970,17542,253,6.586697380924922,2.2201503408892265,2,February
2023-03-31,393630030,20785,298,17.33094432847868,18.4870596283206,3,March
2023-04-30,399295140,19937,278,1.4391965978815202,-4.079865287466921,4,April
2023-05-31,326893700,18032,293,-18.13231185333235,-9.555098560465469,5,May
2023-06-30,346736650,19078,271,6.070153692163549,5.8007985803016915,6,June
2023-07-31,344006350,18886,277,-0.7874275765195282,-1.0063948002935308,7,July
2023-08-31,373797220,19588,295,8.659976770777632,3.7170390765646433,8,August
2023-09-30,380093280,21091,311,1.684351745580126,7.6730651419236295,9,September
2023-10-31,343621060,18217,265,-9.595597164990654,-13.626665402304305,10,October
2023-11-30,335658470,18002,267,-2.317259017826212,-1.1802162814953054,11,November
2023-12-31,339001500,18608,278,0.9959617583908953,3.3662926341517574,12,December
2024-01-31,374371710,19921,305,10.433644098919913,7.056104901117788,1,January
2024-02-29,340878920,18443,260,-8.946399822785756,-7.419306259725921,2,February
2024-03-31,333840930,19151,282,-2.0646597918111187,3.8388548500786213,3,March
2024-04-30,318555000,16983,263,-4.578806439342231,-11.32055767322855,4,April
2024-05-31,326434300,17714,243,2.4734504245734756,4.304304304304307,5,May
2024-06-30,351105300,19269,274,7.557722947619161,8.778367393022467,6,June
2024-07-31,340990310,18594,279,-2.8808992629846375,-3.5030359645025655,7,July
2024-08-31,337495540,19486,288,-1.0248883611971293,4.797246423577506,8,August
2024-09-30,378860380,19800,297,12.256410855088639,1.6114133223853022,9,September
2024-10-31,391009730,19525,283,3.2068146054227142,-1.388888888888884,10,October
2024-11-30,335130770,18462,288,-14.290938488922,-5.444302176696548,11,November
2024-12-31,328512840,17540,254,-1.9747306402214226,-4.994041815621275,12,December
