month_number,month_name,average_revenue,average_units,average_orders
1,January,359887710.0,18996.666666666668,282.6666666666667
2,February,322845793.3333333,17345.5,252.16666666666666
3,March,359093915.0,19347.5,280.1666666666667
4,April,350533713.3333333,18407.833333333332,268.5
5,May,354399550.0,19352.5,286.3333333333333
6,June,342757031.6666667,18511.833333333332,269.6666666666667
7,July,364351460.0,19864.166666666668,287.1666666666667
8,August,373590080.0,20393.666666666668,287.1666666666667
9,September,356850395.0,19106.666666666668,281.0
10,October,360601201.6666667,19085.0,277.3333333333333
11,November,344166413.3333333,18832.166666666668,283.1666666666667
12,December,352154830.0,18845.5,278.0
